,name,issue_url,language,task type1,domain1,,task type2,domain2,,final task type,final domain
0,misoguy,https://github.com/facebook/jest/issues/5073,TypeScript,3,4,,3,4,,3,4
1,misoguy,https://github.com/facebook/react/issues/9239,JavaScript,3,4,,3,4,,3,4
2,misoguy,https://github.com/microsoft/TypeScript/issues/14775,TypeScript,3,4,,3,4,,3,4
3,misoguy,https://github.com/yarnpkg/yarn/issues/5098,JavaScript,1,5,,1,5,,1,5
4,misoguy,https://github.com/microsoft/vscode/issues/21536,TypeScript,3,1,,3,1,,3,1
5,code-review-doctor,https://github.com/OpenMined/PySyft/issues/6420,Python,1,4,,1,4,,1,4
6,code-review-doctor,https://github.com/saltstack/salt/issues/61646,Python,1,4,,1,4,,1,4
7,code-review-doctor,https://github.com/RaRe-Technologies/gensim/issues/3331,Python,1,4,,1,4,,1,4
8,code-review-doctor,https://github.com/pandas-dev/pandas/issues/46853,Python,1,4,,1,4,,1,4
9,sameshl,https://github.com/sympy/sympy/issues/16904,Python,4,4,,4,4,,4,4
10,sameshl,https://github.com/scikit-learn/scikit-learn/issues/14426,Python,6,4,,6,4,,6,4
11,sameshl,https://github.com/pandas-dev/pandas/issues/27558,Python,5,4,,4,4,,5,4
12,sameshl,https://github.com/matplotlib/matplotlib/issues/14720,Python,6,4,,6,4,,6,4
13,faheel,https://github.com/Leaflet/Leaflet/issues/5125,JavaScript,4,3,,4,3,,4,3
14,faheel,https://github.com/serverless/serverless/issues/7023,JavaScript,4,3,,4,3,,4,3
15,faheel,https://github.com/PowerShell/PowerShell/issues/2910,C#,1,4,,1,4,,1,4
16,faheel,https://github.com/freeCodeCamp/freeCodeCamp/issues/11631,TypeScript,1,6,,1,1,,1,1
17,accraze,https://github.com/RaRe-Technologies/gensim/issues/673,Python,6,4,,6,4,,6,4
18,accraze,https://github.com/scikit-learn/scikit-learn/issues/5797,Python,6,4,,6,4,,6,4
19,accraze,https://github.com/pandas-dev/pandas/issues/18770,Python,6,4,,6,4,,6,4
20,accraze,https://github.com/bitcoin/bitcoin/issues/6142,C++,6,1,,6,1,,6,1
21,rbrishabh,https://github.com/mui/material-ui/issues/16812,JavaScript,1,3,,1,3,,1,3
22,rbrishabh,https://github.com/WordPress/gutenberg/issues/16809,JavaScript,4,1,,4,1,,4,1
23,rbrishabh,https://github.com/elastic/eui/issues/4801,TypeScript,1,3,,1,3,,1,3
24,rbrishabh,https://github.com/internetarchive/openlibrary/issues/5213,Python,1,1,,1,1,,1,1
25,Bharat123rox,https://github.com/RaRe-Technologies/gensim/issues/2332,Python,4,4,,4,4,,4,4
26,Bharat123rox,https://github.com/scikit-learn/scikit-learn/issues/13097,Python,4,4,,4,4,,4,4
27,Bharat123rox,https://github.com/pandas-dev/pandas/issues/24268,Python,4,4,,4,4,,4,4
28,Bharat123rox,https://github.com/matplotlib/matplotlib/issues/13880,Python,6,4,,6,4,,6,4
29,sainthkh,https://github.com/TryGhost/Ghost/issues/12038,JavaScript,1,1,,1,1,,1,1
30,sainthkh,https://github.com/WordPress/gutenberg/issues/18939,JavaScript,2,1,,2,1,,2,1
31,sainthkh,https://github.com/elastic/eui/issues/2523,TypeScript,1,3,,1,3,,1,3
32,sainthkh,https://github.com/elastic/kibana/issues/35391,TypeScript,3,1,,3,1,,3,1
33,RhnSharma,https://github.com/WordPress/gutenberg/issues/31967,JavaScript,2,1,,2,1,,2,1
34,RhnSharma,https://github.com/Qiskit/qiskit-terra/issues/6536,Python,4,4,,4,4,,4,4
35,RhnSharma,https://github.com/elastic/eui/issues/4840,TypeScript,4,3,,4,3,,4,3
36,RhnSharma,https://github.com/pandas-dev/pandas/issues/42141,Python,4,4,,4,4,,4,4
37,timgates42,https://github.com/saltstack/salt/issues/55649,Python,4,4,,4,4,,4,4
38,timgates42,https://github.com/pypa/warehouse/issues/7348,Python,4,5,,4,5,,4,5
39,timgates42,https://github.com/RaRe-Technologies/gensim/issues/2718,Python,4,4,,4,4,,4,4
40,timgates42,https://github.com/sympy/sympy/issues/18664,Python,4,2,,4,2,,4,2
41,jamesgeorge007,https://github.com/gatsbyjs/gatsby/issues/10135,JavaScript,6,3,,6,3,,6,3
42,jamesgeorge007,https://github.com/mui/material-ui/issues/16650,JavaScript,6,3,,6,3,,6,3
43,jamesgeorge007,https://github.com/facebook/docusaurus/issues/1398,TypeScript,3,1,,3,1,,3,1
44,jamesgeorge007,https://github.com/freeCodeCamp/freeCodeCamp/issues/19579,TypeScript,4,6,,4,1,,4,1
45,raybellwaves,https://github.com/jupyterlab/jupyterlab/issues/5926,TypeScript,6,1,,6,5,,6,1
46,raybellwaves,https://github.com/scikit-learn/scikit-learn/issues/14368,Python,6,4,,4,4,,6,4
47,raybellwaves,https://github.com/pandas-dev/pandas/issues/33730,Python,6,4,,6,4,,6,4
48,kentcdodds,https://github.com/eslint/eslint/issues/3539,JavaScript,4,5,,4,5,,4,5
49,kentcdodds,https://github.com/facebook/jest/issues/1357,TypeScript,4,4,,6,4,,4,4
50,kentcdodds,https://github.com/facebook/react/issues/5939,JavaScript,1,4,,1,4,,1,4
51,phated,https://github.com/TryGhost/Ghost/issues/4600,JavaScript,3,1,,3,1,,3,1
52,phated,https://github.com/facebook/docusaurus/issues/257,TypeScript,1,1,,1,1,,1,1
53,phated,https://github.com/microsoft/TypeScript/issues/15497,TypeScript,3,4,,3,4,,3,4
54,minrk,https://github.com/pandas-dev/pandas/issues/1805,Python,1,4,,1,4,,1,4
55,minrk,https://github.com/pypa/warehouse/issues/8870,Python,1,5,,1,5,,1,5
56,minrk,https://github.com/matplotlib/matplotlib/issues/1492,Python,1,4,,1,4,,1,4
57,cherniavskii,https://github.com/Leaflet/Leaflet/issues/5784,JavaScript,1,3,,1,3,,1,3
58,cherniavskii,https://github.com/vercel/next.js/issues/4684,JavaScript,1,3,,1,3,,1,3
59,cherniavskii,https://github.com/facebook/react/issues/15613,JavaScript,1,4,,1,4,,1,4
60,hs2361,https://github.com/zulip/zulip/issues/16438,Python,1,1,,1,1,,1,1
61,hs2361,https://github.com/pandas-dev/pandas/issues/35948,Python,4,4,,4,4,,4,4
62,hs2361,https://github.com/matplotlib/matplotlib/issues/18882,Python,4,4,,4,4,,4,4
63,sakulstra,https://github.com/vercel/next.js/issues/997,JavaScript,6,3,,6,3,,6,3
64,sakulstra,https://github.com/mui/material-ui/issues/8190,JavaScript,1,3,,1,3,,1,3
65,sakulstra,https://github.com/TryGhost/Ghost/issues/6939,JavaScript,1,1,,1,1,,1,1
66,willingc,https://github.com/pypa/warehouse/issues/519,Python,6,5,,6,5,,6,5
67,willingc,https://github.com/scikit-learn/scikit-learn/issues/7003,Python,6,4,,6,4,,6,4
68,willingc,https://github.com/pandas-dev/pandas/issues/17579,Python,6,4,,6,4,,6,4
69,markroth8,https://github.com/pandas-dev/pandas/issues/10331,Python,1,4,,1,4,,1,4
70,markroth8,https://github.com/jupyterlab/jupyterlab/issues/2194,TypeScript,1,1,,1,5,,1,1
71,markroth8,https://github.com/scikit-learn/scikit-learn/issues/9350,Python,1,4,,1,4,,1,4
72,DickvdBrink,https://github.com/microsoft/TypeScript/issues/168,TypeScript,1,4,,1,4,,1,4
73,DickvdBrink,https://github.com/dotnet/roslyn/issues/1713,C#,1,5,,1,5,,1,5
74,DickvdBrink,https://github.com/microsoft/vscode/issues/770,TypeScript,1,1,,1,1,,1,1
75,SanthoshBala18,https://github.com/RaRe-Technologies/gensim/issues/2554,Python,4,4,,4,4,,4,4
76,SanthoshBala18,https://github.com/scikit-learn/scikit-learn/issues/16124,Python,4,4,,1,4,,1,4
77,SanthoshBala18,https://github.com/pandas-dev/pandas/issues/35010,Python,4,4,,4,4,,4,4
78,flying-sheep,https://github.com/pandas-dev/pandas/issues/9708,Python,6,4,,6,4,,6,4
79,flying-sheep,https://github.com/eslint/eslint/issues/7817,JavaScript,3,5,,3,5,,3,5
80,flying-sheep,https://github.com/jupyterlab/jupyterlab/issues/5696,TypeScript,1,1,,3,5,,3,1
81,CharlesStover,https://github.com/vercel/next.js/issues/35280,JavaScript,1,3,,1,3,,1,3
82,CharlesStover,https://github.com/mui/material-ui/issues/10411,JavaScript,3,3,,3,3,,3,3
83,CharlesStover,https://github.com/facebook/jest/issues/6720,TypeScript,4,4,,4,4,,4,4
84,aashil,https://github.com/scikit-learn/scikit-learn/issues/7630,Python,6,4,,6,4,,6,4
85,aashil,https://github.com/freeCodeCamp/freeCodeCamp/issues/9768,TypeScript,1,6,,1,1,,1,1
86,aashil,https://github.com/matplotlib/matplotlib/issues/8123,Python,6,4,,6,4,,6,4
87,arcanis,https://github.com/vercel/next.js/issues/8418,JavaScript,1,3,,1,3,,1,3
88,arcanis,https://github.com/badges/shields/issues/757,JavaScript,1,1,,1,1,,1,1
89,arcanis,https://github.com/yarnpkg/yarn/issues/2439,JavaScript,1,5,,1,5,,1,5
90,MarcoGorelli,https://github.com/scikit-learn/scikit-learn/issues/7757,Python,6,4,,6,4,,6,4
91,MarcoGorelli,https://github.com/pandas-dev/pandas/issues/27779,Python,1,4,,1,4,,1,4
92,MarcoGorelli,https://github.com/matplotlib/matplotlib/issues/15079,Python,1,4,,1,4,,1,4
93,Patil2099,https://github.com/mui/material-ui/issues/16921,JavaScript,3,3,,3,3,,3,3
94,Patil2099,https://github.com/zulip/zulip/issues/19049,Python,3,1,,3,1,,3,1
95,Patil2099,https://github.com/CleverRaven/Cataclysm-DDA/issues/49701,C++,1,1,,1,1,,1,1
96,naoyak,https://github.com/TryGhost/Ghost/issues/6473,JavaScript,3,1,,2,1,,2,1
97,naoyak,https://github.com/scikit-learn/scikit-learn/issues/7147,Python,6,4,,6,4,,6,4
98,naoyak,https://github.com/matplotlib/matplotlib/issues/7656,Python,1,4,,1,4,,1,4
99,marcosvega91,https://github.com/vercel/next.js/issues/12136,JavaScript,1,3,,1,3,,1,3
100,marcosvega91,https://github.com/mui/material-ui/issues/20607,JavaScript,6,3,,6,3,,6,3
101,marcosvega91,https://github.com/facebook/docusaurus/issues/2706,TypeScript,6,1,,6,1,,6,1
102,xjlim,https://github.com/facebook/jest/issues/4410,TypeScript,1,4,,1,4,,1,4
103,xjlim,https://github.com/facebook/react/issues/11444,JavaScript,1,4,,1,4,,1,4
104,xjlim,https://github.com/freeCodeCamp/freeCodeCamp/issues/4993,TypeScript,4,6,,4,1,,4,1
105,imskr,https://github.com/OpenMined/PySyft/issues/3088,Python,3,4,,3,4,,3,4
106,imskr,https://github.com/facebook/docusaurus/issues/3305,TypeScript,6,1,,6,1,,6,1
107,imskr,https://github.com/internetarchive/openlibrary/issues/2463,Python,1,1,,1,1,,1,1
108,FLGMwt,https://github.com/serverless/serverless/issues/3018,JavaScript,6,5,,6,5,,6,5
109,FLGMwt,https://github.com/yarnpkg/yarn/issues/767,JavaScript,1,5,,1,5,,1,5
110,FLGMwt,https://github.com/facebook/react-native/issues/14081,JavaScript,1,4,,1,4,,1,4
111,danedavid,https://github.com/gatsbyjs/gatsby/issues/10971,JavaScript,1,3,,1,3,,1,3
112,danedavid,https://github.com/elastic/eui/issues/4645,TypeScript,4,3,,4,3,,4,3
113,danedavid,https://github.com/refined-github/refined-github/issues/2467,TypeScript,3,1,,3,1,,3,1
114,Cheukting,https://github.com/pypa/warehouse/issues/4737,Python,6,5,,6,5,,6,5
115,Cheukting,https://github.com/scikit-learn/scikit-learn/issues/12261,Python,6,4,,6,4,,6,4
116,Cheukting,https://github.com/pandas-dev/pandas/issues/18691,Python,6,4,,6,4,,6,4
117,saranshkataria,https://github.com/gatsbyjs/gatsby/issues/10958,JavaScript,1,3,,1,3,,1,3
118,saranshkataria,https://github.com/facebook/docusaurus/issues/906,TypeScript,1,1,,1,1,,1,1
119,saranshkataria,https://github.com/freeCodeCamp/freeCodeCamp/issues/34834,TypeScript,1,6,,1,1,,1,1
120,caugner,https://github.com/checkstyle/checkstyle/issues/3403,Java,6,1,,6,1,,6,1
121,caugner,https://github.com/phpmyadmin/phpmyadmin/issues/14337,PHP,3,1,,3,1,,3,1
122,caugner,https://github.com/nextcloud/server/issues/7837,PHP,3,1,,3,1,,3,1
,,,,,,,,,,,
Task type,,Domain,,,,,,,,,
code corrective,1,Application software,,,,,,,,,
code adaptive,2,System software,,,,,,,,,
code perfective,3,Web libraries and frameworks,,,,,,,,,
doc corrective,4,Non-web libraries and frameworks,,,,,,,,,
doc adaptive,5,Software tools,,,,,,,,,
doc perfective,6,Documentation,,,,,,,,,